# z, u, v, w
1.251000000000000000e+03 5.454438445617320497e+00 3.738439251412052577e+00 -1.406022980935052780e-10
1.257000000000000000e+03 5.454459116905125526e+00 3.738424630963228967e+00 -3.431984329573299736e-10
1.263000000000000000e+03 5.454461271835631564e+00 3.738430588609338301e+00 -3.651064315799660618e-10
1.269000000000000000e+03 5.454444692940046302e+00 3.738418771906031779e+00 -3.574462562610820871e-10
1.275000000000000000e+03 5.454428339159550276e+00 3.738393122509613864e+00 -3.135689617430874643e-10
1.281000000000000000e+03 5.454419846458634424e+00 3.738376635652852720e+00 -3.611420322410845196e-10
1.287000000000000000e+03 5.454409931026154901e+00 3.738370846631033917e+00 -4.440991813039657227e-10
1.293000000000000000e+03 5.454399641248537378e+00 3.738364614820744336e+00 -4.419082044546005246e-10
1.299000000000000000e+03 5.454388081500095353e+00 3.738359956278851204e+00 -4.173487038000050342e-10
1.305000000000000000e+03 5.454375617485840877e+00 3.738359148503354046e+00 -3.737278901819711221e-10
1.311000000000000000e+03 5.454362667253350061e+00 3.738359754925288936e+00 -2.955679622678191037e-10
1.317000000000000000e+03 5.454352691975927314e+00 3.738361693424301357e+00 -3.480269826931869323e-10
1.323000000000000000e+03 5.454348061913950829e+00 3.738363450225359763e+00 -3.067325076062662779e-10
1.329000000000000000e+03 5.454347653062824541e+00 3.738369774832323245e+00 -4.088440479336982340e-10
1.335000000000000000e+03 5.454329614424112904e+00 3.738382513754854752e+00 -1.861315108194005011e-10
1.341000000000000000e+03 5.454267906024735879e+00 3.738373852098832106e+00 -2.567272998664172785e-10
1.347000000000000000e+03 5.454238372916480060e+00 3.738354261482741414e+00 -1.805726900567245229e-10
1.353000000000000000e+03 5.454271935894308143e+00 3.738370617441300947e+00 -2.199101941410943833e-10
1.359000000000000000e+03 5.454285941121264081e+00 3.738394828712621631e+00 -3.006774593915737077e-10
1.365000000000000000e+03 5.454251568200388256e+00 3.738395134298525768e+00 -2.671766158996436692e-10
1.371000000000000000e+03 5.454221439250474646e+00 3.738392200703394952e+00 -3.612703051116678302e-10
1.377000000000000000e+03 5.454206974214582893e+00 3.738391322571469111e+00 -2.806659812788024648e-10
1.383000000000000000e+03 5.454192933159330181e+00 3.738394574916986901e+00 -2.430740655656152280e-10
1.389000000000000000e+03 5.454177643311529877e+00 3.738397450772402930e+00 -2.636237681441172165e-10
1.395000000000000000e+03 5.454161884827216866e+00 3.738397594643948718e+00 -2.311439494414642131e-10
1.401000000000000000e+03 5.454146990999945821e+00 3.738398789896500762e+00 -2.394737922046320947e-10
1.407000000000000000e+03 5.454133895119637643e+00 3.738397404864026718e+00 -2.305737754606387625e-10
1.413000000000000000e+03 5.454126519180158006e+00 3.738394904204469071e+00 -2.334848926332606915e-10
1.419000000000000000e+03 5.454125960653559702e+00 3.738393319327209419e+00 -1.452864056743241064e-10
1.425000000000000000e+03 5.454125099440132907e+00 3.738400395345936822e+00 -1.187483378685305377e-10
1.431000000000000000e+03 5.454092175135240694e+00 3.738407003240029169e+00 -3.381798441016089561e-10
1.437000000000000000e+03 5.454001309423865962e+00 3.738393564374649536e+00 -3.224100404015907058e-10
1.443000000000000000e+03 5.453974721175436358e+00 3.738382317346980344e+00 -2.220501384307379030e-10
1.449000000000000000e+03 5.454050596644347770e+00 3.738390227930233234e+00 -4.544304812480346185e-10
1.455000000000000000e+03 5.454083461154286994e+00 3.738402163973520320e+00 -2.086808588665960413e-10
1.461000000000000000e+03 5.454046365370495586e+00 3.738402213865586354e+00 -5.061136243853735171e-10
1.467000000000000000e+03 5.454014227883598132e+00 3.738396864795820118e+00 -5.769138333555756424e-10
1.473000000000000000e+03 5.454002309670127779e+00 3.738396781118229484e+00 -5.758642140841850970e-10
1.479000000000000000e+03 5.453991742028570400e+00 3.738397992679536319e+00 -2.044338780465712909e-10
1.485000000000000000e+03 5.453980526463196199e+00 3.738398884420035095e+00 -4.888765756276135863e-10
1.491000000000000000e+03 5.453967622824734462e+00 3.738399141086835353e+00 -3.849709069299705305e-10
1.497000000000000000e+03 5.453955606431686753e+00 3.738399942274879262e+00 -6.938281786044435611e-10
1.503000000000000000e+03 5.453944268006465812e+00 3.738401287884650870e+00 -8.255344454315312254e-10
1.509000000000000000e+03 5.453939692617845836e+00 3.738401055371340043e+00 -8.859821876515609426e-10
1.515000000000000000e+03 5.453938735755847311e+00 3.738400581167314662e+00 -6.533929698705966409e-10
1.521000000000000000e+03 5.453940304625456648e+00 3.738403966970444081e+00 -4.841118057010093813e-10
1.527000000000000000e+03 5.453889269912990834e+00 3.738407628079105205e+00 -1.296777450124844051e-09
1.533000000000000000e+03 5.453761040224625489e+00 3.738395625700613234e+00 -1.189109897631821415e-09
1.539000000000000000e+03 5.453729229049346650e+00 3.738379284511939460e+00 -1.080388647942549539e-09
1.545000000000000000e+03 5.453823730704331574e+00 3.738389406482013122e+00 -1.278179158281969035e-09
1.551000000000000000e+03 5.453869287828230661e+00 3.738405631034255272e+00 -1.383707778434057566e-09
1.557000000000000000e+03 5.453831565282082572e+00 3.738395204952682960e+00 -1.195714147078603506e-09
1.563000000000000000e+03 5.453790009008429251e+00 3.738384542492377616e+00 -1.233496704202457718e-09
1.569000000000000000e+03 5.453767630937239375e+00 3.738382643736088529e+00 -1.106116773651698608e-09
1.575000000000000000e+03 5.453754232351444742e+00 3.738379582752433539e+00 -1.150995539348929904e-09
1.581000000000000000e+03 5.453744477696563564e+00 3.738376656372150997e+00 -9.066436159411061909e-10
1.587000000000000000e+03 5.453736486060956956e+00 3.738373499281504309e+00 -9.873621591784532074e-10
1.593000000000000000e+03 5.453732293491087013e+00 3.738371573669899028e+00 -8.559757508359882921e-10
1.599000000000000000e+03 5.453731452829553739e+00 3.738367832331841889e+00 -9.022145699839938677e-10
1.605000000000000000e+03 5.453745296993617764e+00 3.738364768215681533e+00 -7.427125194598376901e-10
1.611000000000000000e+03 5.453772836841661587e+00 3.738366315555134545e+00 -8.111174014885011575e-10
1.617000000000000000e+03 5.453804602980422800e+00 3.738368960752833647e+00 -6.543199398666599455e-10
1.623000000000000000e+03 5.453750490625129288e+00 3.738360842467209455e+00 -9.110034112018981334e-10
1.629000000000000000e+03 5.453612428794599509e+00 3.738342127750861277e+00 -7.936857999520945394e-10
1.635000000000000000e+03 5.453620978437480282e+00 3.738342878845640982e+00 -9.982855145610641045e-10
1.641000000000000000e+03 5.453775955224958949e+00 3.738348233356840300e+00 -9.810499543577810511e-10
1.647000000000000000e+03 5.453847111137310577e+00 3.738354757836070963e+00 -8.320664598787490231e-10
1.653000000000000000e+03 5.453831028094841216e+00 3.738350247968889040e+00 -9.511885965103552296e-10
1.659000000000000000e+03 5.453819843135608636e+00 3.738344434054853505e+00 -1.109625135741970425e-09
1.665000000000000000e+03 5.453824885472426942e+00 3.738337625966050126e+00 -1.008853013853455474e-09
1.671000000000000000e+03 5.453835787075544950e+00 3.738334908615271068e+00 -4.084414751320320802e-10
1.677000000000000000e+03 5.453847701285956973e+00 3.738333168688219299e+00 -7.759740607133649558e-10
1.683000000000000000e+03 5.453858410847645111e+00 3.738331162446229428e+00 -7.866215185489892041e-10
1.689000000000000000e+03 5.453869528617795837e+00 3.738330920495565923e+00 -9.996779983245990108e-10
1.695000000000000000e+03 5.453882284704900663e+00 3.738332382085458594e+00 -1.227754104264986757e-09
1.701000000000000000e+03 5.453903136445492628e+00 3.738335853696671318e+00 -1.054154560856244607e-09
1.707000000000000000e+03 5.453930643796131683e+00 3.738341734426533502e+00 -1.172453536550355411e-09
1.713000000000000000e+03 5.453954288868753331e+00 3.738338189902389974e+00 -8.544375545768546871e-10
1.719000000000000000e+03 5.453924747897912262e+00 3.738331337051472580e+00 -1.824154103980495489e-09
